time height dist satId lat lon
2010.538 333.15632180586 250211.852482321 3 42.5739002 -96.6816682
2010.538 334.702584339367 258673.002426519 3 42.639558 -96.6904751
2010.538 334.410789586842 258982.034922365 3 42.6424127 -96.6908582
2010.538 334.62750859402 259136.334336879 3 42.6452673 -96.6912413
2010.538 334.828648450779 259609.704218785 3 42.6481219 -96.6916244
2010.538 334.821685057268 259858.298648726 3 42.6509766 -96.6920076
2010.556 316.071527322737 158335.592353458 3 42.0390172 -96.2433267
2010.556 315.755004925108 157775.195272691 3 42.0304639 -96.2444647
2010.561 343.814653200119 296000.37213607 3 42.7650252 -97.0223775
2010.561 343.918221589371 295941.8552237 3 42.7621742 -97.0227612
2010.561 343.846706556226 295883.330593347 3 42.7593231 -97.0231448
2010.612 294.347068614312 25919.2533156833 3 41.1849595 -95.9058497
2010.612 295.286759221988 32270.8163060325 3 41.2277185 -95.9114705
2010.612 295.464163691565 32574.669478759 3 41.230569 -95.9118453
2010.612 295.740109181811 33913.7089663561 3 41.2419712 -95.9133448
2010.612 295.891193020409 34236.5838152013 3 41.2448217 -95.9137197
2010.612 296.042589777631 37335.0705674437 3 41.2704766 -95.9170947
2010.612 294.579027091157 48028.0441881233 3 41.3018328 -95.9212213
2010.612 293.450789736541 48243.7693516411 3 41.3103844 -95.9223471
2010.612 298.942744765219 56302.9286803758 3 41.3673944 -95.9298558
2010.612 299.153794012494 56574.3126036156 3 41.3702449 -95.9302314
2010.612 299.281214056732 57335.4087375933 3 41.3759458 -95.9309827
2010.612 299.287402759232 57623.0069070667 3 41.3787963 -95.9313583
2010.612 299.600869604651 60291.6771267863 3 41.4016005 -95.9343641
2010.612 300.998858821167 69026.2595193885 3 41.4671608 -95.9430111
2010.691 318.263843875222 171633.426947802 3 42.1275138 -96.2987829
2010.714 335.020820056199 259048.32743131 3 42.644256 -96.6878227
2010.714 334.753090226681 258902.495124832 3 42.6413969 -96.6882058
2010.714 333.403967931493 252311.306752163 3 42.5899313 -96.6950998
2010.714 333.350110301838 252050.652454178 3 42.5870721 -96.6954826
2010.85 340.253189343484 281078.855220619 3 42.7300676 -96.8919582
2010.85 340.17397146929 281257.323535714 3 42.7329196 -96.8923405
2010.873 348.687483102225 317394.606215843 3 42.8472562 -97.2208313
2010.873 348.516670970702 317167.328128439 3 42.8444029 -97.2212145
2010.873 348.560364314179 316940.043702615 3 42.8415495 -97.2215977
2010.873 348.419497613444 316591.064410408 3 42.8386962 -97.2219809
2010.873 348.539641515461 316292.522168513 3 42.8358429 -97.222364
2010.923 313.35239963422 149854.091604655 3 41.9925605 -96.1924629
2010.929 347.159598672521 310138.894905605 3 42.8002515 -97.1755393
2010.929 347.267346383221 310241.694993315 3 42.8031027 -97.1759218
2010.929 347.264672075968 310344.503186902 3 42.805954 -97.1763044
2010.941 298.684035507421 61329.8640219226 3 41.408174 -95.9178877
2010.941 295.445851060928 49114.5439137304 3 41.322318 -95.9291398
2010.947 330.256756352461 245926.918168656 3 42.5535399 -96.6385552
2010.952 354.380920195395 339571.495134206 3 42.8549821 -97.4704855
2011.003 326.897204653221 232685.832811744 3 42.5145431 -96.5325467
2011.008 359.582728498776 337889.542020897 3 42.844512 -97.4525936
2011.02 307.73908397981 128980.072408853 3 41.8566169 -96.1190229
2011.026 339.365361253622 279653.243884337 3 42.7298989 -96.8769773
2011.026 339.168193347251 279759.999850168 3 42.7270424 -96.8773601
2011.026 339.003087254401 279973.513185406 3 42.7213294 -96.8781256
2011.1 322.080197278534 192093.288152702 3 42.2814402 -96.3446237
2011.1 318.202634241966 185223.718206191 3 42.2272928 -96.3518424
2011.1 317.777824022283 183902.048322903 3 42.2158933 -96.3533614
2011.1 317.836236598832 182304.8117482 3 42.2044933 -96.3548801
2011.105 346.760297952345 308456.415223635 3 42.8002716 -97.1521259
2011.105 346.667899651202 308276.770848304 3 42.7974222 -97.1525091
2011.105 346.926811096151 308097.115785078 3 42.7945727 -97.1528922
2011.105 346.762492969319 307917.470588709 3 42.7917233 -97.1532753
2011.105 347.002065264354 307737.828112326 3 42.7888739 -97.1536584
2011.156 300.66235578069 83181.6703387165 3 41.5209506 -96.0737834
2011.156 301.700789687288 89692.8139389439 3 41.5694247 -96.0801783
2011.156 301.82558754014 90239.3541372847 3 41.5751275 -96.0809309
2011.156 302.143769308804 90558.3268145335 3 41.5779788 -96.0813073
2011.156 301.896220571248 90866.3883267942 3 41.5808302 -96.0816836
2011.156 304.840934111733 108491.729858179 3 41.7062902 -96.0982591
2011.156 304.893413630455 110788.296966916 3 41.7233979 -96.1005217
2011.156 305.311907561669 111708.421265216 3 41.7319517 -96.1016532
2011.156 305.413401645368 112015.122170915 3 41.7348029 -96.1020304
2011.156 308.546106789396 128746.825788036 3 41.8545552 -96.1178877
2011.156 310.715333472233 143391.868571353 3 41.9600488 -96.1318807
2011.161 344.990395757904 303677.525545919 3 42.7681834 -97.1163418
2011.161 345.031746417208 303760.172059617 3 42.7710335 -97.116725
2011.174 296.38452249508 43302.1132001065 3 41.3026052 -95.8726197
2011.174 295.194022548447 41579.1789402526 3 41.2883262 -95.874496
2011.174 290.940364067569 24403.9230660686 3 41.1855153 -95.8879936
2011.179 328.449767365406 237528.721554686 3 42.5075126 -96.5861066
2011.184 348.976297643209 333605.957045939 3 42.8690378 -97.4109496
2011.184 350.771493604686 334147.58927098 3 42.8604697 -97.4121027
2011.235 328.238184878065 226193.603473184 3 42.4799996 -96.477454
2011.24 349.960048713934 333213.807563587 3 42.8670891 -97.4054266
